lane_id,source_family,outer_fold,group_id,evaluation_physical_units,training_groups,source_artifact,source_row_count,assignment_rule,target_independent_proof,claim_level,prior_fit_contamination,execution_mode
L-HYD,waszkiewicz2025,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-1;WASZ-BREW-1-2;WASZ-BREW-1-3;WASZ-BREW-1-4;WASZ-BREW-1-5b,WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,5,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-2.0,WASZ-COND-2.0,WASZ-BREW-2-2;WASZ-BREW-2-3;WASZ-BREW-2-4;WASZ-BREW-2-5,WASZ-COND-1.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,4,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-3.5,WASZ-COND-3.5,WASZ-BREW-3-5-3;WASZ-BREW-3-5-4;WASZ-BREW-3-5-5,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,3,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-4.0,WASZ-COND-4.0,WASZ-BREW-4-1;WASZ-BREW-4-1b;WASZ-BREW-4-2;WASZ-BREW-4-2b;WASZ-BREW-4-3;WASZ-BREW-4-3b;WASZ-BREW-4-4;WASZ-BREW-4-4b;WASZ-BREW-4-5;WASZ-BREW-4-5b,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,10,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-5.0,WASZ-COND-5.0,WASZ-BREW-5-1;WASZ-BREW-5-2;WASZ-BREW-5-3;WASZ-BREW-5-4;WASZ-BREW-5-5,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,5,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-6.0,WASZ-COND-6.0,WASZ-BREW-6-1;WASZ-BREW-6-2;WASZ-BREW-6-3;WASZ-BREW-6-4;WASZ-BREW-6-5;WASZ-BREW-6-6,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,6,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-7.0,WASZ-COND-7.0,WASZ-BREW-7-1;WASZ-BREW-7-2;WASZ-BREW-7-3;WASZ-BREW-7-4,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,4,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-8.0,WASZ-COND-8.0,WASZ-BREW-8-1;WASZ-BREW-8-1b;WASZ-BREW-8-2;WASZ-BREW-8-3,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-9.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,4,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-9.0,WASZ-COND-9.0,WASZ-BREW-9-1;WASZ-BREW-9-2;WASZ-BREW-9-3;WASZ-BREW-9-4;WASZ-BREW-9-5,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-11.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,5,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
L-HYD,waszkiewicz2025,HYD-LOCO-11.0,WASZ-COND-11.0,WASZ-BREW-10-2;WASZ-BREW-10-3;WASZ-BREW-10-4;WASZ-BREW-10-5,WASZ-COND-1.0;WASZ-COND-2.0;WASZ-COND-3.5;WASZ-COND-4.0;WASZ-COND-5.0;WASZ-COND-6.0;WASZ-COND-7.0;WASZ-COND-8.0;WASZ-COND-9.0;WASZ-COND-13.0,WASZ_EQUILIBRIUM;WASZ_LINE_PRESSURE,4,frozen leave-one-pressure-condition-out,source condition identity only; not a numerical predictor,LEVEL_3_RETROSPECTIVE_GROUPED_WITHIN_SOURCE_CONDITIONAL_ON_MEASURED_HYDRAULIC_CONTEXT,NONE_NEW_FIT_NO_PRIOR_SCORE_REUSE,FIT_AND_PREDICT
